direction	segment_ms	mss	history	BLEU	COMET	LongAL (CA)	LongAL (CU)	LongAP (CA)	LongAP (CU)	LongDAL (CA)	LongDAL (CU)	LongLAAL (CA)	LongLAAL (CU)	LongYAAL (CA)	LongYAAL (CU)	chrF	scores_path
en-de	1280	5.0	0	27.4414	0.8351	4514.0292	3964.418	1.5424	1.4135	5809.7872	5236.2951	4627.0338	4087.1855	3898.5314	3431.1065	59.6645	outputs/en-de/baseline/seg1280_mss5.0_h0/segmentation_output/scores.tsv
en-de	1600	5.0	0	27.7248	0.848	5755.8955	5144.0059	1.7374	1.6078	7032.9846	6451.7387	5837.3111	5236.3696	4671.2164	4203.035	59.7966	outputs/en-de/baseline/seg1600_mss5.0_h0/segmentation_output/scores.tsv
en-de	1920	5.0	0	28.2383	0.8693	6953.4626	6266.1682	1.8447	1.7077	8177.6481	7518.6061	6995.6555	6318.1521	5478.6337	4967.069	60.2485	outputs/en-de/baseline/seg1920_mss5.0_h0/segmentation_output/scores.tsv
en-de	640	5.0	0	22.3502	0.748	2192.8848	1816.5612	1.1067	1.0099	3293.2025	2890.5021	2388.2094	2023.9744	2137.6286	1809.8912	56.7096	outputs/en-de/baseline/seg640_mss5.0_h0/segmentation_output/scores.tsv
en-de	960	5.0	0	26.3106	0.8189	3363.0814	2870.712	1.2893	1.1791	4590.0826	4091.3393	3501.5376	3024.8944	3027.6226	2633.8007	59.1503	outputs/en-de/baseline/seg960_mss5.0_h0/segmentation_output/scores.tsv
en-it	1280	5.0	0	37.2794	0.7806	4292.8972	3814.0683	1.478	1.372	5635.1491	5157.2412	4392.9095	3921.1091	3704.5976	3299.9897	65.4427	outputs/en-it/baseline/seg1280_mss5.0_h0/segmentation_output/scores.tsv
en-it	1600	5.0	0	37.9967	0.7912	5597.3591	4972.046	1.7281	1.5961	6891.1222	6310.0091	5663.4492	5054.395	4561.7298	4096.0438	65.83	outputs/en-it/baseline/seg1600_mss5.0_h0/segmentation_output/scores.tsv
en-it	1920	5.0	0	38.8445	0.8079	6800.1689	6134.2905	1.9593	1.8155	8082.6266	7455.5368	6844.3634	6186.2315	5262.8463	4729.6091	66.2736	outputs/en-it/baseline/seg1920_mss5.0_h0/segmentation_output/scores.tsv
en-it	640	5.0	0	30.6333	0.6825	2110.9193	1785.7916	1.0683	0.989	3232.011	2894.0202	2297.3754	1984.6955	2054.8346	1763.4972	62.0332	outputs/en-it/baseline/seg640_mss5.0_h0/segmentation_output/scores.tsv
en-it	960	5.0	0	35.8228	0.7529	3297.7604	2876.1777	1.2825	1.1891	4527.0866	4111.2412	3418.4348	3005.968	2926.7416	2586.6066	64.5831	outputs/en-it/baseline/seg960_mss5.0_h0/segmentation_output/scores.tsv
en-zh	1280	5.0	0	43.8466	0.7951	4345.3722	3923.1266	1.5048	1.4002	5715.5424	5276.298	4441.141	4026.61	3849.9906	3479.0864	37.761	outputs/en-zh/baseline/seg1280_mss5.0_h0/segmentation_output/scores.tsv
en-zh	1600	5.0	0	43.5423	0.7986	5557.8574	5084.4126	1.7544	1.6437	6948.1712	6493.6563	5642.2008	5178.9849	4612.587	4249.6923	37.6117	outputs/en-zh/baseline/seg1600_mss5.0_h0/segmentation_output/scores.tsv
en-zh	1920	5.0	0	44.3546	0.8079	6646.2155	6137.4058	1.9654	1.8479	7954.3787	7472.1959	6698.2755	6207.9773	5348.2458	4965.1677	38.0443	outputs/en-zh/baseline/seg1920_mss5.0_h0/segmentation_output/scores.tsv
en-zh	640	5.0	0	40.8519	0.7496	2244.0173	1950.5598	1.046	0.9705	3332.1897	3012.2662	2366.3852	2080.4868	2175.4698	1908.7764	34.1197	outputs/en-zh/baseline/seg640_mss5.0_h0/segmentation_output/scores.tsv
en-zh	960	5.0	0	42.5428	0.7824	3276.6946	2917.4648	1.3599	1.2547	4550.749	4165.7273	3399.4305	3047.5315	3027.8997	2719.5909	36.4474	outputs/en-zh/baseline/seg960_mss5.0_h0/segmentation_output/scores.tsv
